ko,DEFINITION
K00001,E1.1.1.1, adh; alchl dehydrgenase [EC1.1.1.1]
K10012,arnC, pmrF; undecaprenyl-phsphate 4-dexy-4-frmamid-L-arabinse transferase [EC2.4.2.53]
K10013,argT; lysine/arginine/rnithine transprt system substrate-binding prtein
K10014,hisJ; histidine transprt system substrate-binding prtein
K10015,hisM; histidine transprt system permease prtein
K10016,hisQ; histidine transprt system permease prtein
K10017,hisP; histidine transprt system ATP-binding prtein [EC7.4.2.1]
K10018,ccT, ncT; ctpine/npaline transprt system substrate-binding prtein
K10019,ccM, ncM; ctpine/npaline transprt system permease prtein
K10020,ccQ, ncQ; ctpine/npaline transprt system permease prtein
K10021,ccP, ncP; ctpine/npaline transprt system ATP-binding prtein [EC7.4.2.1]
K10022,atJ; arginine/rnithine transprt system substrate-binding prtein
K10023,atM; arginine/rnithine transprt system permease prtein
K10024,atQ; arginine/rnithine transprt system permease prtein
K10025,atP; arginine/rnithine transprt system ATP-binding prtein [EC7.4.2.1]
K10026,queE; 7-carbxy-7-deazaguanine synthase [EC4.3.99.3]
K10027,crtI; phytene desaturase [EC1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]
K10028,DDT; D-dpachrme decarbxylase [EC4.1.1.84]
K10029,PPBP, CXCL7; platelet basic prtein
K10030,IL8, CXCL8; interleuin 8
K10031,CXCL12; C-X-C mtif chemine 12
K10032,CXCL13; C-X-C mtif chemine 13
K10033,CXCL14, SCYB14; C-X-C mtif chemine 14
K10034,CXCL15; C-X-C mtif chemine 15
K10035,CXCL16; C-X-C mtif chemine 16
K10036,glnH; glutamine transprt system substrate-binding prtein
K10037,glnP; glutamine transprt system permease prtein
K10038,glnQ; glutamine transprt system ATP-binding prtein [EC7.4.2.1]
K10039,peb1A, glnH; aspartate/glutamate/glutamine transprt system substrate-binding prtein
K10040,peb1B, glnP, glnM; aspartate/glutamate/glutamine transprt system permease prtein
K10041,peb1C, glnQ; aspartate/glutamate/glutamine transprt system ATP-binding prtein [EC7.4.2.1]
K10042,SUCNR1, GPR91; succinate receptr 1
K10043,OXER1, GPR170; xeicsanid receptr 1
K10044,RARRES2; retinic acid receptr respnder prtein 2
K10045,CGB; chrinic gnadtrpin, beta plypeptide
K10046,GME; GDP-D-mannse 3', 5'-epimerase [EC5.1.3.18 5.1.3.-]
K10047,VTC4; insitl-phsphate phsphatase / L-galactse 1-phsphate phsphatase [EC3.1.3.25 3.1.3.93]
K10048,CEBPB; CCAAT/enhancer binding prtein (C/EBP), beta
K10049,CEBPG; CCAAT/enhancer binding prtein (C/EBP), gamma
K10050,CEBPD; CCAAT/enhancer binding prtein (C/EBP), delta
K10051,CEBPE; CCAAT/enhancer binding prtein (C/EBP), epsiln
K10052,CEBPN; CCAAT/enhancer binding prtein (C/EBP), invertebrate
K10053,RUNX1T1, CBFA2T1; CBFA2/RNUX1 translcatin partner 1
K10054,PML, TRIM19; prbable transcriptin factr PML
K10055,ZBTB16, PLZF; zinc finger and BTB dmain-cntaining prtein 16
K10056,JUP; junctin plaglbin
K10057,CLEC4A, CD367; C-type lectin dmain family 4 member A
K10058,CLEC4D, MCL, CD368; C-type lectin dmain family 4 member D
K10059,CLEC4E, MINCLE; C-type lectin dmain family 4 member E
K10060,CLEC4F, CLECSF13; C-type lectin dmain family 4 member F
K10061,CLEC4G; C-type lectin superfamily 4 member G
K10062,COLEC12; cllectin sub-family member 12
K10063,ASGR1; asialglycprtein receptr 1
K10064,ASGR2; asialglycprtein receptr 2
K10065,COLEC10; cllectin sub-family member 10
K10066,COLEC11; cllectin sub-family member 11
K10067,SFTPA; pulmnary surfactant-assciated prtein A
K10068,SFTPD, SFTP4; pulmnary surfactant-assciated prtein D
K10069,CLEC1A; C-type lectin dmain family 1 member A
K10070,CLEC1B; C-type lectin dmain family 1 member B
K10071,CLEC2B; C-type lectin dmain family 2 member B
K10072,CLEC2D; C-type lectin dmain family 2 member D
K10073,CLEC5A; C-type lectin dmain family 5 member A
K10074,CLEC7A, DECTIN1, CD369; C-type lectin dmain family 7 member A
K10075,KLRF1; iller cell lectin-lie receptr subfamily F member 1
K10076,KLRG1; iller cell lectin-lie receptr subfamily G member 1
K10077,LAYN; layilin
K10078,CHODL; chndrlectin
K10079,SIGLEC12, SIGLECL1; sialic acid binding Ig-lie lectin 12
K10080,LMAN1, ERGIC53; lectin, mannse-binding 1
K10081,LMAN1L, ERGL; lectin, mannse-binding 1-lie
K10082,LMAN2, VIP36; lectin, mannse-binding 2
K10083,LMAN2L, VIPL; lectin, mannse-binding 2-lie
K10084,EDEM1; ER degradatin enhancer, mannsidase alpha-lie 1
K10085,EDEM2; ER degradatin enhancer, mannsidase alpha-lie 2
K10086,EDEM3; ER degradatin enhancer, mannsidase alpha-lie 3
K10087,GNPTG, GNPTAG; N-acetylglucsamine-1-phsphate transferase, gamma subunit
K10088,OS9; prtein OS-9
K10089,M6PR; catin-dependent mannse-6-phsphate receptr
K10090,LGALS2; galectin-2
K10091,LGALS4; galectin-4
K10092,LGALS7; galectin-7
K10093,LGALS9; galectin-9
K10094,cbiK; nicel transprt prtein
K10095,LGALS12; galectin-12
K10096,LGALS13; galectin-13
K10097,LGALS14; galectin-14
K10098,CALR3; calreticulin 3
K10099,FBXO2, NFB42; F-bx prtein 2
K10100,FBXO6; F-bx prtein 6
K10101,FBXO17, FBXO26; F-bx prtein 17
K10102,FBXO27; F-bx prtein 27
K10103,FBXO44; F-bx prtein 44
K10104,FCN; ficlin
K10105,LIPT1; lipyltransferase 1
K10106,GGCX; vitamin K-dependent gamma-carbxylase [EC4.1.1.90]
K10107,psE; capsular plysaccharide transprt system permease prtein
K10108,malE; maltse/maltdextrin transprt system substrate-binding prtein
K10109,malF; maltse/maltdextrin transprt system permease prtein
K10110,malG; maltse/maltdextrin transprt system permease prtein
K10111,malK, mtlK, thuK; multiple sugar transprt system ATP-binding prtein [EC3.6.3.-]
K10112,msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transprt system ATP-binding prtein
K10117,msmE; raffinse/stachyse/melibise transprt system substrate-binding prtein
K10118,msmF; raffinse/stachyse/melibise transprt system permease prtein
K10119,msmG; raffinse/stachyse/melibise transprt system permease prtein
K10120,K10120, msmE; fructligsaccharide transprt system substrate-binding prtein
K10121,K10121, msmF; fructligsaccharide transprt system permease prtein
K10122,K10122, msmG; fructligsaccharide transprt system permease prtein
K10123,feC; putative ferrus irn transprt prtein C
K10124,bglH; carbhydrate-specific uter membrane prin
K10125,dctB; tw-cmpnent system, NtrC family, C4-dicarbxylate transprt sensr histidine inase DctB [EC2.7.13.3]
K10126,dctD; tw-cmpnent system, NtrC family, C4-dicarbxylate transprt respnse regulatr DctD
K10127,MDM4, MDMX; prtein Mdm4
K10128,RPRM; reprim, TP53-dependent G2 arrest mediatr candidate
K10129,GTSE1, B99; G-2 and S-phase expressed prtein 1
K10130,LRDD, PIDD; leucine-rich repeats and death dmain-cntaining prtein
K10131,PMAIP1, NOXA; phrbl-12-myristate-13-acetate-induced prtein 1
K10132,BBC3, PUMA; Bcl-2-binding cmpnent 3
K10133,TP53I3; tumr prtein p53-inducible prtein 3 [EC1.-.-.-]
K10134,EI24; etpside-induced 2.4 mRNA
K10135,SCOTIN; sctin
K10136,PERP; TP53 apptsis effectr
K10137,ZMAT3; zinc finger, matrin type 3
K10138,IGFBP3; insulin-lie grwth factr-binding prtein 3
K10139,SERPINB5; serpin B5
K10140,DDB2; DNA damage-binding prtein 2
K10141,SESN1_3; sestrin 1/3
K10142,STEAP3, TSAP6; metallreductase STEAP3 [EC1.16.1.-]
K10143,RFWD2, COP1; E3 ubiquitin-prtein ligase RFWD2 [EC2.3.2.27]
K10144,RCHY1, PIRH2; RING finger and CHY zinc finger dmain-cntaining prtein 1 [EC2.3.2.27]
K10145,CCNG1; cyclin G1
K10146,CCNG2; cyclin G2
K10147,PPM1D, WIP1; prtein phsphatase 1D [EC3.1.3.16]
K10148,TP73; tumr prtein p73
K10149,TP63; tumr prtein p63
K10150,cysO; cysteine synthase / O-phsphserine sulfhydrylase / cystathinine beta-synthase [EC2.5.1.47 2.5.1.65 4.2.1.22]
K10151,CCND2; G1/S-specific cyclin-D2
K10152,CCND3; G1/S-specific cyclin-D3
K10153,IRF2; interfern regulatry factr 2
K10154,IRF6; interfern regulatry factr 6
K10155,IRF8; interfern regulatry factr 8
K10156,eizS; epi-iszizaene synthase [EC4.2.3.37]
K10157,B3GAT2; galactsylgalactsylxylsylprtein 3-beta-glucurnsyltransferase 2 [EC2.4.1.135]
K10158,B3GAT3; galactsylgalactsylxylsylprtein 3-beta-glucurnsyltransferase 3 [EC2.4.1.135]
K10159,TLR2, CD282; tll-lie receptr 2
K10160,TLR4, CD284; tll-lie receptr 4
K10161,TLR9, CD289; tll-lie receptr 9
K10162,BAMBI; BMP and activin membrane-bund inhibitr
K10163,FOXP3, IPEX; frhead bx P3
K10164,NANOG; hmebx prtein Nang
K10165,NOD2, CARD15; nucletide-binding ligmerizatin dmain-cntaining prtein 2
K10166,TBX21; T-bx prtein 21
K10167,TCL1A; T-cell leuemia/lymphma 1A
K10168,TLR5; tll-lie receptr 5
K10169,TLR6, CD286; tll-lie receptr 6
K10170,TLR8, CD288; tll-lie receptr 8
K10171,TLR10, CD290; tll-lie receptr 10
K10172,BRA, T; brachyury prtein
K10173,EOMES, TBR2; emesdermin prtein
K10174,TBR1; T-bx brain prtein 1
K10175,TBX1; T-bx prtein 1
K10176,TBX2; T-bx prtein 2
K10177,TBX3; T-bx prtein 3
K10178,TBX4; T-bx prtein 4
K10179,TBX5, HOS; T-bx prtein 5
K10180,TBX6; T-bx prtein 6
K10181,TBX10, TBX7; T-bx prtein 10
K10182,TBX15, TBX14; T-bx prtein 15
K10183,TBX18; T-bx prtein 18
K10184,TBX19; T-bx prtein 19
K10185,TBX20; T-bx prtein 20
K10186,TBX22; T-bx prtein 22
K10187,cyc2; germacradienl/gesmin synthase [EC4.2.3.22 4.2.3.75 4.1.99.16]
K10188,lacE, araN; lactse/L-arabinse transprt system substrate-binding prtein
K10189,lacF, araP; lactse/L-arabinse transprt system permease prtein
K10190,lacG, araQ; lactse/L-arabinse transprt system permease prtein
K10191,lacK; lactse/L-arabinse transprt system ATP-binding prtein
K10192,tgB; liggalacturnide transprt system substrate-binding prtein
K10193,tgM; liggalacturnide transprt system permease prtein
K10194,tgN; liggalacturnide transprt system permease prtein
K10195,tgA; liggalacturnide transprt system ATP-binding prtein
K10196,ABC.GLC.S; glucse/arabinse transprt system substrate-binding prtein
K10197,ABC.GLC.P; glucse/arabinse transprt system permease prtein
K10198,ABC.GLC.P1; glucse/arabinse transprt system permease prtein
K10199,ABC.GLC.A; glucse/arabinse transprt system ATP-binding prtein
K10200,ABC.NGC.S; N-acetylglucsamine transprt system substrate-binding prtein
K10201,ABC.NGC.P; N-acetylglucsamine transprt system permease prtein
K10202,ABC.NGC.P1; N-acetylglucsamine transprt system permease prtein
K10203,ELOVL6; elngatin f very lng chain fatty acids prtein 6 [EC2.3.1.199]
K10205,ELOVL2; elngatin f very lng chain fatty acids prtein 2 [EC2.3.1.199]
K10206,E2.6.1.83; LL-diaminpimelate amintransferase [EC2.6.1.83]
K10207,HSD17B3; teststerne 17beta-dehydrgenase (NADP+) [EC1.1.1.64]
K10208,crtM; 4,4'-diapphytene synthase [EC2.5.1.96]
K10209,crtN; 4,4'-diapphytene desaturase [EC1.3.8.2]
K10210,crtP; diaplycpene xygenase [EC1.14.99.44]
K10211,crtQ; 4,4'-diapneursprenate glycsyltransferase [EC2.4.1.-]
K10212,K10212, crtO; glycsyl-4,4'-diapneursprenate acyltransferase [EC2.3.1.-]
K10213,rihB; ribsylpyrimidine nuclesidase [EC3.2.2.8]
K10214,ACOX2; 3alpha,7alpha,12alpha-trihydrxy-5beta-chlestanyl-CA 24-hydrxylase [EC1.17.99.3]
K10215,ethA; mnxygenase [EC1.14.13.-]
K10216,dmpD, xylF; 2-hydrxymucnate-semialdehyde hydrlase [EC3.7.1.9]
K10217,dmpC, xylG, praB; aminmucnate-semialdehyde/2-hydrxymucnate-6-semialdehyde dehydrgenase [EC1.2.1.32 1.2.1.85]
K10218,ligK, galC; 4-hydrxy-4-methyl-2-xglutarate aldlase [EC4.1.3.17]
K10219,ligC; 2-hydrxy-4-carbxymucnate semialdehyde hemiacetal dehydrgenase [EC1.1.1.312]
K10220,ligJ; 4-xalmesacnate hydratase [EC4.2.1.83]
K10221,ligI; 2-pyrne-4,6-dicarbxylate lactnase [EC3.1.1.57]
K10222,bphD; 2,6-dix-6-phenylhexa-3-enate hydrlase [EC3.7.1.8]
K10223,CH25H; chlesterl 25-hydrxylase [EC1.14.99.38]
K10224,FADS1; acyl-CA (8-3)-desaturase (Delta-5 desaturase) [EC1.14.19.44]
K10225,FADS3; fatty acid desaturase 3 (Delta-13 desaturase) [EC1.14.19.-]
K10226,FADS2; acyl-CA 6-desaturase (Delta-6 desaturase) [EC1.14.19.3]
K10227,smE, mtlE; srbitl/mannitl transprt system substrate-binding prtein
K10228,smF, mtlF; srbitl/mannitl transprt system permease prtein
K10229,smG, mtlG; srbitl/mannitl transprt system permease prtein
K10231,jP; jibise phsphrylase [EC2.4.1.230]
K10232,aglE, ggtB; alpha-glucside transprt system substrate-binding prtein
K10233,aglF, ggtC; alpha-glucside transprt system permease prtein
K10234,aglG, ggtD; alpha-glucside transprt system permease prtein
K10235,aglK; alpha-glucside transprt system ATP-binding prtein
K10236,thuE; trehalse/maltse transprt system substrate-binding prtein
K10237,thuF, sugA; trehalse/maltse transprt system permease prtein
K10238,thuG, sugB; trehalse/maltse transprt system permease prtein
K10240,cebE; cellbise transprt system substrate-binding prtein
K10241,cebF; cellbise transprt system permease prtein
K10242,cebG; cellbise transprt system permease prtein
K10244,ELOVL5; elngatin f very lng chain fatty acids prtein 5 [EC2.3.1.199]
K10245,ELO2; fatty acid elngase 2 [EC2.3.1.199]
K10246,ELO3; fatty acid elngase 3 [EC2.3.1.199]
K10247,ELOVL1; elngatin f very lng chain fatty acids prtein 1 [EC2.3.1.199]
K10248,ELOVL3; elngatin f very lng chain fatty acids prtein 3 [EC2.3.1.199]
K10249,ELOVL4; elngatin f very lng chain fatty acids prtein 4 [EC2.3.1.199]
K10250,ELOVL7; elngatin f very lng chain fatty acids prtein 7 [EC2.3.1.199]
K10251,HSD17B12, KAR, IFA38; 17beta-estradil 17-dehydrgenase / very-lng-chain 3-xacyl-CA reductase [EC1.1.1.62 1.1.1.330]
K10252,BCDO2; beta,beta-cartene 9',10'-dixygenase [EC1.13.11.71]
K10253,K10253; DOPA 4,5-dixygenase [EC1.14.99.-]
K10254,hyA, sph; leate hydratase [EC4.2.1.53]
K10255,FAD6, desA; acyl-lipid mega-6 desaturase (Delta-12 desaturase) [EC1.14.19.23 1.14.19.45]
K10256,FAD2; mega-6 fatty acid desaturase / acyl-lipid mega-6 desaturase (Delta-12 desaturase) [EC1.14.19.6 1.14.19.22]
K10257,FAD3, FAD7, FAD8, desB; acyl-lipid mega-3 desaturase [EC1.14.19.25 1.14.19.35 1.14.19.36]
K10258,TER, TSC13, CER10; very-lng-chain enyl-CA reductase [EC1.3.1.93]
K10259,MET30; F-bx and WD-40 dmain prtein MET30
K10260,FBXW7, SEL10; F-bx and WD-40 dmain prtein 7
K10261,FBXW2, MD6; F-bx and WD-40 dmain prtein 2
K10262,FBXW4, SHFM3; F-bx and WD-40 dmain prtein 4
K10263,FBXW5; F-bx and WD-40 dmain prtein 5
K10264,FBXW8; F-bx and WD-40 dmain prtein 8
K10265,FBXW9; F-bx and WD-40 dmain prtein 9
K10266,FBXW10; F-bx and WD-40 dmain prtein 10
K10267,FBXW12S; F-bx and WD-40 dmain prtein 12/13/14/15/16/17/19
K10268,FBXL2_20; F-bx and leucine-rich repeat prtein 2/20
K10269,FBXL3; F-bx and leucine-rich repeat prtein 3
K10270,FBXL4; F-bx and leucine-rich repeat prtein 4
K10271,FBXL5; F-bx and leucine-rich repeat prtein 5
K10272,FBXL6; F-bx and leucine-rich repeat prtein 6
K10273,FBXL7; F-bx and leucine-rich repeat prtein 7
K10274,FBXL8; F-bx and leucine-rich repeat prtein 8
K10275,FBXL9, LRRC29; F-bx and leucine-rich repeat prtein 9
K10276,FBXL10_11, KDM2; F-bx and leucine-rich repeat prtein 10/11 [EC1.14.11.27]
K10277,KDM8, JMJD5; lysine-specific demethylase 8 [EC1.14.11.27]
K10278,FBXL12; F-bx and leucine-rich repeat prtein 12
K10279,FBXL13; F-bx and leucine-rich repeat prtein 13
K10280,FBXL14; F-bx and leucine-rich repeat prtein 14
K10281,FBXL15; F-bx and leucine-rich repeat prtein 15
K10282,FBXL16; F-bx and leucine-rich repeat prtein 16
K10283,FBXL17; F-bx and leucine-rich repeat prtein 17
K10284,FBXL18; F-bx and leucine-rich repeat prtein 18
K10285,FBXL19; F-bx and leucine-rich repeat prtein 19
K10287,FBXL21; F-bx and leucine-rich repeat prtein 21
K10288,FBXL22; F-bx and leucine-rich repeat prtein 22
K10289,CCNF, FBXO1; F-bx prtein 1 (cyclin F)
K10290,FBXO3; F-bx prtein 3
K10291,FBXO4; F-bx prtein 4
K10292,FBXO5, EMI1; F-bx prtein 5
K10293,FBXO7; F-bx prtein 7
K10294,FBXO8; F-bx prtein 8
K10295,FBXO9; F-bx prtein 9
K10296,FBXO10; F-bx prtein 10
K10297,FBXO11; F-bx prtein 11
K10298,FBXO15; F-bx prtein 15
K10299,FBXO16; F-bx prtein 16
K10300,FBXO18; F-bx prtein, helicase, 18 [EC3.6.4.12]
K10301,FBXO21; F-bx prtein 21
K10302,FBXO22; F-bx prtein 22
K10303,FBXO23, TSPAN17; F-bx prtein 23
K10304,FBXO24; F-bx prtein 24
K10305,FBXO25_32; F-bx prtein 25/32
K10306,FBXO28; F-bx prtein 28
K10307,FBXO30; F-bx prtein 30
K10308,FBXO31; F-bx prtein 31
K10310,FBXO33; F-bx prtein 33
K10311,FBXO34; F-bx prtein 34
K10312,FBXO36; F-bx prtein 36
K10313,FBXO38, MOKA; F-bx prtein 38
K10314,FBXO39; F-bx prtein 39
K10315,FBXO40; F-bx prtein 40
K10316,FBXO41; F-bx prtein 41
K10317,FBXO42; F-bx prtein 42
K10318,FBXO43, EMI2; F-bx prtein 43
K10319,FBXO45; F-bx prtein 45
K10320,FBXO46; F-bx prtein 46
K10321,FBXO47; F-bx prtein 47
K10323,ASB1; anyrin repeat and SOCS bx prtein 1
K10324,ASB2; anyrin repeat and SOCS bx prtein 2
K10325,ASB3; anyrin repeat and SOCS bx prtein 3
K10326,ASB4; anyrin repeat and SOCS bx prtein 4
K10327,ASB5; anyrin repeat and SOCS bx prtein 5
K10328,ASB6; anyrin repeat and SOCS bx prtein 6
K10329,ASB7; anyrin repeat and SOCS bx prtein 7
K10330,ASB8; anyrin repeat and SOCS bx prtein 8
K10331,ASB9; anyrin repeat and SOCS bx prtein 9
K10332,ASB10; anyrin repeat and SOCS bx prtein 10
K10333,ASB11; anyrin repeat and SOCS bx prtein 11
K10334,ASB12; anyrin repeat and SOCS bx prtein 12
K10335,ASB13; anyrin repeat and SOCS bx prtein 13
K10336,ASB14; anyrin repeat and SOCS bx prtein 14
K10337,ASB15; anyrin repeat and SOCS bx prtein 15
K10338,ASB16; anyrin repeat and SOCS bx prtein 16
K10339,ASB17; anyrin repeat and SOCS bx prtein 17
K10340,ASB18; anyrin repeat and SOCS bx prtein 18
K10341,WSB1; WD repeat and SOCS bx-cntaining prtein 1
K10342,WSB2; WD repeat and SOCS bx-cntaining prtein 2
K10343,SPSB1_4, SSB1, SSB4; SPRY dmain-cntaining SOCS bx prtein 1/4
K10344,SPSB2, SSB2; SPRY dmain-cntaining SOCS bx prtein 2
K10345,SPSB3, SSB3; SPRY dmain-cntaining SOCS bx prtein 3
K10347,LRRC41, MUF1; leucine-rich repeat-cntaining prtein 41
K10348,LRR1, PPIL5; LRR-repeat prtein 1
K10349,FEM1B; Fem-1 hmlg b
K10350,ZYG11; Zyg-11 prtein hmlg
K10351,MYL2; mysin regulatry light chain 2
K10352,MYH; mysin heavy chain
K10353,E2.7.1.76, da; dexyadensine inase [EC2.7.1.76]
K10354,ACTA1; actin, alpha seletal muscle
K10355,ACTF; actin, ther euaryte
K10356,MYO1; mysin I
K10357,MYO5; mysin V
K10358,MYO6; mysin VI
K10359,MYO7A, USH1B; mysin VIIa
K10360,MYO9; mysin IX
K10361,MYO15; mysin XV
K10362,MYO18; mysin XVIII
K10363,DSTN; destrin (actin-deplymerizing factr)
K10364,CAPZA; capping prtein (actin filament) muscle Z-line, alpha
K10365,CAPZB; capping prtein (actin filament) muscle Z-line, beta
K10366,DMD; dystrphin
K10367,FMN1; frmin 1
K10368,CAPG; capping prtein (actin filament), gelslin-lie
K10369,SVIL; supervillin
K10370,TMOD; trpmdulin
K10371,TNNI1; trpnin I, slw seletal muscle
K10372,TNNT1; trpnin T, slw seletal muscle
K10373,TPM1; trpmysin 1
K10374,TPM2; trpmysin 2
K10375,TPM4; trpmysin 4
K10376,DMN; desmuslin
K10377,SYNC1; syncilin 1
K10378,BFSP1; filensin
K10379,BFSP2; phainin
K10380,ANK; anyrin
K10381,DSP; desmplain
K10382,DST; dystnin
K10383,EVPL; envplain
K10384,FLG; filaggrin
K10385,LOR; lricrin
K10386,PPL; periplain
K10387,PKP1; plaphilin 1
K10388,PLEC; plectin
K10389,TUBG; tubulin gamma
K10390,TUBD; tubulin delta
K10391,TUBE; tubulin epsiln
K10392,KIF1; inesin family member 1
K10393,KIF2_24, MCAK; inesin family member 2/24
K10394,KIF3A; inesin family member 3A
K10395,KIF4_21_27; inesin family member 4/21/27
K10396,KIF5; inesin family member 5
K10397,KIF6_9; inesin family member 6/9
K10398,KIF11, EG5; inesin family member 11
K10399,KIF12; inesin family member 12
K10400,KIF15; inesin family member 15
K10401,KIF18_19; inesin family member 18/19
K10402,KIF20; inesin family member 20
K10403,KIF22; inesin family member 22
K10404,KIF26; inesin family member 26
K10405,KIFC1; inesin family member C1
K10406,KIFC2_3; inesin family member C2/C3
K10407,KLC; inesin light chain
K10408,DNAH; dynein heavy chain, axnemal
K10409,DNAI1; dynein intermediate chain 1, axnemal
K10410,DNALI; dynein light intermediate chain, axnemal
K10411,DNAL1; dynein light chain 1, axnemal
K10412,DNAL4; dynein light chain 4, axnemal
K10413,DYNC1H; dynein heavy chain 1, cytslic
K10414,DYNC2H, DNCH2; dynein heavy chain 2, cytslic
K10415,DYNC1I, DNCI; dynein intermediate chain, cytslic
K10416,DYNC1LI, DNCLI; dynein light intermediate chain 1, cytslic
K10417,DYNC2LI; dynein light intermediate chain 2, cytslic
K10418,DYNLL; dynein light chain LC8-type
K10419,DYNLRB, DNCL2; dynein light chain radblc-type
K10420,DYNLT; dynein light chain Tctex-type 1
K10421,CLIP1, RSN; CAP-Gly dmain-cntaining liner prtein 1
K10422,CLIP2, CYLN2; CAP-Gly dmain-cntaining liner prtein 2
K10423,CLIP3_4; CAP-Gly dmain-cntaining liner prtein 3/4
K10424,DCTN2; dynactin 2
K10425,DCTN3; dynactin 3
K10426,DCTN4; dynactin 4
K10427,DCTN5; dynactin 5
K10428,DCTN6; dynactin 6
K10429,MAP1; micrtubule-assciated prtein 1
K10430,MAP2; micrtubule-assciated prtein 2
K10431,MAP4; micrtubule-assciated prtein 4
K10432,MAP6; micrtubule-assciated prtein 6
K10433,MAP7; micrtubule-assciated prtein 7
K10434,MAP9; micrtubule-assciated prtein 9
K10435,MAP1LC; micrtubule-assciated prtein 1 light chain
K10436,MAPRE; micrtubule-assciated prtein, RP/EB family
K10437,PHAA, CYP504; phenylacetate 2-hydrxylase [EC1.14.14.54]
K10438,E1.14.13.63, phacB; 3-hydrxyphenylacetate 6-hydrxylase [EC1.14.13.63]
K10439,rbsB; ribse transprt system substrate-binding prtein
K10440,rbsC; ribse transprt system permease prtein
K10441,rbsA; ribse transprt system ATP-binding prtein [EC7.5.2.7]
K10442,KLHL1_4_5; elch-lie prtein 1/4/5
K10443,KLHL2_3; elch-lie prtein 2/3
K10444,KLHL6; elch-lie prtein 6
K10445,KLHL7; elch-lie prtein 7
K10446,KLHL8; elch-lie prtein 8
K10447,KLHL9_13; elch-lie prtein 9/13
K10448,KLHL10; elch-lie prtein 10
K10449,KLHL11; elch-lie prtein 11
K10450,KLHL12, C3IP1; elch-lie prtein 12
K10451,KLHL14; elch-lie prtein 14
K10452,KLHL15; elch-lie prtein 15
K10453,KLHL16, GAN; elch-lie prtein 16 (gigaxnin)
K10454,KLHL17; elch-lie prtein 17 (actinfilin)
K10455,KLHL18; elch-lie prtein 18
K10456,KLHL19, KEAP1, INRF2; elch-lie prtein 19
K10457,KLHL20, KLEIP; elch-lie prtein 20
K10458,KLHL21; elch-lie prtein 21
K10459,KLHL22, KELCHL; elch-lie prtein 22
K10460,KLHL23; elch-lie prtein 23
K10461,KLHL24_35; elch-lie prtein 24/35
K10462,KLHL25_37, ENC1, ENC2; elch-lie prtein 25/37 (ectderm-neural crtex prtein)
K10463,KLHL26; elch-lie prtein 26
K10464,KLHL28; elch-lie prtein 28
K10465,KLHL29, KBTBD9; elch-lie prtein 29
K10466,KLHL30; elch-lie prtein 30
K10467,KLHL31; elch-lie prtein 31
K10468,KLHL32; elch-lie prtein 32
K10469,KLHL34; elch-lie prtein 34
K10470,KBTBD2; elch repeat and BTB dmain-cntaining prtein 2
K10471,KBTBD3; elch repeat and BTB dmain-cntaining prtein 3
K10472,KBTBD4; elch repeat and BTB dmain-cntaining prtein 4
K10473,KBTBD5_10; elch repeat and BTB dmain-cntaining prtein 5/10
K10474,KBTBD6_7; elch repeat and BTB dmain-cntaining prtein 6/7
K10475,KBTBD8; elch repeat and BTB dmain-cntaining prtein 8
K10476,KBTBD11; elch repeat and BTB dmain-cntaining prtein 11
K10477,BTBD1_2; BTB/POZ dmain-cntaining prtein 1/2
K10478,BTBD3_6; BTB/POZ dmain-cntaining prtein 3/6
K10479,BTBD7; BTB/POZ dmain-cntaining prtein 7
K10480,BTBD8; BTB/POZ dmain-cntaining prtein 8
K10481,BTBD9; BTB/POZ dmain-cntaining prtein 9
K10482,BTBD10; BTB/POZ dmain-cntaining prtein 10
K10483,BTBD11; BTB/POZ dmain-cntaining prtein 11
K10484,BTBD12, SLX4; structure-specific endnuclease subunit SLX4 (BTB/POZ dmain-cntaining prtein 12)
K10485,BTBD13, GMCL1, GCL; BTB/POZ dmain-cntaining prtein 13 (germ cell-less prtein-lie 1)
K10486,BTBD14; BTB/POZ dmain-cntaining prtein 14
K10487,BTBD16; BTB/POZ dmain-cntaining prtein 16
K10488,ZBTB1; zinc finger and BTB dmain-cntaining prtein 1
K10489,ZBTB2; zinc finger and BTB dmain-cntaining prtein 2
K10490,ZBTB3; zinc finger and BTB dmain-cntaining prtein 3
K10491,ZBTB4; zinc finger and BTB dmain-cntaining prtein 4
K10492,ZBTB5; zinc finger and BTB dmain-cntaining prtein 5
K10493,ZBTB6; zinc finger and BTB dmain-cntaining prtein 6
K10494,ZBTB7; zinc finger and BTB dmain-cntaining prtein 7
K10495,ZBTB8; zinc finger and BTB dmain-cntaining prtein 8
K10496,ZBTB9; zinc finger and BTB dmain-cntaining prtein 9
K10497,ZBTB10, RINZF; zinc finger and BTB dmain-cntaining prtein 10
K10498,ZBTB11; zinc finger and BTB dmain-cntaining prtein 11
K10499,ZBTB12; zinc finger and BTB dmain-cntaining prtein 12
K10500,ZBTB17, MIZ1; zinc finger and BTB dmain-cntaining prtein 17
K10501,ZBTB20, HOF, DPZF; zinc finger and BTB dmain-cntaining prtein 20
K10502,ZBTB22, BING1; zinc finger and BTB dmain-cntaining prtein 22
